,Salário,Idade,Profissão,Tamanho da Empresa,Cargo de Gestão,Experiência em DS,Tipo de Trabalho,Escolaridade,Área de Formação,Setor de Mercado,Brasil,Estado,Linguagem Python,Linguagem R,Linguagem SQL
346,7000.0,"[18,24]",Analista de Dados,Média,não,de 2 a 3 anos,Outras,Graduação/Bacharelado,Marketing / Publicidade / Comunicação / Jornalismo,Internet/Ecommerce,1,São Paulo (SP),1,0,1
347,14000.0,"[18,24]",,Pequena,sim,de 6 a 10 anos,Empreendedor ou Empregado (CNPJ),Mestrado,Estatística/ Matemática / Matemática Computacional,Outras,1,Paraná (PR),1,1,1
348,5000.0,"[25,30]",Analista de Negócios,Média,não,de 1 a 2 anos,Outras,Pós-graduação,Ciências Sociais,Tecnologia/Fábrica de Software,1,São Paulo (SP),1,1,1
349,1500.0,"[18,24]",Desenvolvedor/Engenheiro de Software,Pequena,não,de 1 a 2 anos,Estagiário,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação,Marketing,1,,0,0,0
350,7000.0,"[31,40]",Analista de Negócios,Média,não,Mais de 10 anos,Outras,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças,Setor Público,1,Minas Gerais (MG),1,1,0
351,250000.0,"[31,40]",,Média,sim,de 6 a 10 anos,Outras,Mestrado,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,1,São Paulo (SP),0,0,0
352,1000.0,"[31,40]",Desenvolvedor/Engenheiro de Software,Pequena,não,Não tenho experiência na área de dados,Empreendedor ou Empregado (CNPJ),Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação,Indústria (Manufatura),1,São Paulo (SP),0,0,0
353,1000.0,"[41,50]",Desenvolvedor/Engenheiro de Software,Média,não,de 6 a 10 anos,Empreendedor ou Empregado (CNPJ),Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,1,,0,0,0
354,3500.0,"[25,30]",,,sim,de 1 a 2 anos,Outras,Graduação/Bacharelado,Outras Engenharias,Setor Público,1,,1,1,1
355,7000.0,"[25,30]",Engenheiro de Dados,Média,não,de 2 a 3 anos,Outras,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,1,Santa Catarina (SC),0,0,0
356,,"[18,24]",Analista de Dados,Média,não,de 1 a 2 anos,Estagiário,Estudante de Graduação,Economia/ Administração / Contabilidade / Finanças,Agronegócios,1,Rio Grande do Sul (RS),1,1,0
357,1000.0,"[31,40]",Outras,Média,não,Não tenho experiência na área de dados,Empreendedor ou Empregado (CNPJ),Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,1,Santa Catarina (SC),0,0,0
358,,"[41,50]",,,,Menos de 1 ano,Outras,Pós-graduação,Ciências Sociais,,1,Paraná (PR),0,0,0
359,3500.0,"[25,30]",Analista de BI,,não,de 4 a 5 anos,Outras,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação,Indústria (Manufatura),1,São Paulo (SP),0,0,0
360,,"[25,30]",,,,Não tenho experiência na área de dados,Outras,Graduação/Bacharelado,Outras Engenharias,,1,São Paulo (SP),0,0,0
361,,"[18,24]",Analista de Dados,Grande,não,de 1 a 2 anos,Outras,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,1,Minas Gerais (MG),0,1,1
362,7000.0,"[31,40]",Engenheiro de Dados,Média,não,de 6 a 10 anos,Outras,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação,Outras,1,São Paulo (SP),0,0,0
363,7000.0,"[18,24]",Cientista de Dados,,não,Menos de 1 ano,Outras,Mestrado,Estatística/ Matemática / Matemática Computacional,Finanças ou Bancos,1,,1,1,1
364,14000.0,"[31,40]",Cientista de Dados,,não,Mais de 10 anos,Outras,Mestrado,Marketing / Publicidade / Comunicação / Jornalismo,Finanças ou Bancos,1,,1,1,1
365,,"[25,30]",,,,Menos de 1 ano,Outras,Graduação/Bacharelado,Outras Engenharias,,1,São Paulo (SP),1,1,1
366,7000.0,"[18,24]",,Pequena,sim,de 1 a 2 anos,Outras,Mestrado,Outras Engenharias,Educação,1,Minas Gerais (MG),1,0,0
